id,score
m.0wj4flv,2886
m.0pcn4bq,2880
m.0s9p0hw,2582
m.0y6gsqh,2513
m.02qbdsw,2467
m.0wyp4c0,2428
m.0px65j9,2283
m.0fq33pt,2240
m.0pcn2zz,2180
m.0svnw_y,2175
m.03h3gvj,2135
m.0_0cq11,2113
m.0svp07n,1933
m.0n5v70t,1856
m.0111g0ch,1831
m.0dt9rc,1736
m.0s96kvm,1734
m.0j8t6fp,1720
m.0351my,1641
m.010jd11w,1612
m.0h7m5tg,1591
m.0ndhv55,1565
m.0w705xd,1543
m.0_7f30d,1539
m.0rycm6n,1495
m.09vbp76,1477
g.1n36x4dqk,1458
m.0j26nc5,1452
m.0h3xlc3,1392
m.0g56s09,1372
m.0101n400,1354
m.02x5__0,1348
m.0c3zwbt,1343
m.0j4dfb1,1327
m.0h548vh,1239
m.0khm1xt,1225
m.0j633tz,1220
m.0vx0wsn,1214
m.03cs21,1192
m.0v_3b8x,1182
m.0n9kr6c,1177
m.0zpsp3s,1161
m.0_ynsx3,1155
m.0j4nmhg,1125
m.010nl_mh,1122
m.04jkl5_,1118
m.06g8rs,1110
m.02pml0v,1106
m.0w31nl6,1101
m.0r4zhhh,1092
m.04y8lr4,1092
m.0gkxx6c,1084
m.03m5bl,1063
m.0qgm3hr,1054
m.0nfvytg,1048
m.0lb1_k5,1027
m.0v8zmv8,1013
m.0tjvtp5,998
m.0zt48w3,984
m.06x8sr,979
m.0h0tgk,965
m.0hhv8tt,945
m.043km4w,929
m.0n63sjn,926
m.07cvr,912
m.04zp9y,911
m.04g88q,900
m.027ln1j,890
m.0ng_hb3,883
m.0101pwy4,880
m.0h5356l,869
m.0bmf1tp,860
m.0k5h63d,852
m.0gl0018,848
m.0gg975f,841
m.0fx886,830
m.0jb250q,829
m.0svnfmy,829
m.0hhqnmn,825
m.09tvvym,824
m.0y4cwsp,820
m.0q3mh7d,819
m.0w4gqyz,819
m.011rskrq,815
m.0j64h56,801
m.0w1h3my,785
m.0k065hv,780
m.0w9d8m2,779
m.0nb9q8d,771
m.0n4yf3h,762
m.0zb3vj0,746
m.010nkqz1,733
m.010nm4_0,732
m.04wj2vl,726
m.0_rhmn9,726
m.02pn2jt,720
m.01064k8p,718
m.0gyrh0y,716
m.0j4jdx1,715
m.0279glm,715
m.02w8jm,706
m.0kh8n_0,702
m.0sg8hsb,700
m.0nfmz1g,695
m.0j4jy2r,695
m.0qdzpwl,688
m.0cp1654,681
m.0j25yf1,675
m.04ycwf5,674
m.0t_xw8m,669
m.0tkqwyj,656
m.03q106,653
m.0r3zx77,649
m.0rfdkdb,647
m.0j4c7ny,646
m.09cv89,643
m.0n9hn_2,633
m.0wfs9sj,628
m.02pn2fb,626
m.0643c3,623
m.0n5xlx9,619
m.02pn2rp,618
m.0n83z1k,617
m.0n602n4,617
m.027lqxn,611
m.0w194yw,607
m.0jrrdbb,605
m.0t58h5g,603
m.0sgs0rf,594
m.03f_14,594
m.0crgpln,592
m.0y4341_,588
m.02pn2q9,583
m.0h3v85h,583
m.04gg14,581
m.0bpn5,574
m.04f6b7g,572
m.02pmldj,568
m.0sw7ct8,564
m.0_7nbzf,560
m.0w19vst,557
m.0pcdzqz,551
m.0c3w9lh,546
m.011nsfjl,543
m.0zbjbqw,542
m.0j7j8tw,541
m.0w_1y6j,540
m.0sgk1jx,538
m.0yqnsp0,537
m.03z3xf,532
m.0w700km,531
m.0k8wn2z,530
m.09lqq6,530
m.04w6wkq,529
m.01c596,524
m.02vnp_3,522
m.0r8frnm,520
m.05_61g7,519
m.0j7c4nv,517
m.0k8cg91,516
m.0pbrmvq,511
m.0v3f_5f,509
m.0y5fv9r,508
m.0nd9t0b,508
m.0k0671p,506
m.0h_dbw3,505
m.0pd1_qb,501
m.0jkxs_2,500
m.0jrt_vk,500
m.0rfd5jd,498
m.0j55zs3,497
m.0y850gr,496
m.0235s0,495
m.0kcmgcc,494
m.043lf37,492
m.0bdqnjl,489
m.04yq896,483
m.0rp8j03,476
m.0s9p297,476
m.0h7w3_q,473
m.06w79d3,471
m.0rdpc8r,467
m.0jt5sph,466
m.02pf61v,463
m.098ts0,461
m.02kw8ln,461
m.04lbk6,458
m.0dl9v_c,453
m.04w4fpz,451
m.0km79f_,451
m.0zp42tx,450
m.02pn274,448
m.0j4c70x,441
m.0l75qys,441
m.0_krv40,437
m.0y7pd4v,437
m.0408r44,436
m.02rw15q,434
m.017f2w,433
m.0nfnsjh,433
m.0wy3964,432
m.06h8csn,432
m.0jr__h0,430
m.0mtwn2j,426
m.0q49463,425
m.0_rh8sp,425
m.09v4lpc,420
m.02n4_g,420
m.0pxjm9q,420
m.0100z8x8,417
m.0j44qmh,417
m.0qdz7b0,416
m.0j4cm60,413
m.0269q3n,412
m.0jzxq0p,412
m.03cgqc2,410
m.0svn7p7,409
m.0r3_dng,408
m.0vxz3gk,407
m.0h_chr0,406
m.0t4z1kl,405
m.0wjjc3n,404
m.02pn263,404
m.0107f106,403
m.0k2_g6b,401
m.0454fb,398
m.0cc7rtv,395
m.04m_f9_,395
m.04qyx7,393
m.0wj81w7,392
m.0c029b4,390
m.0j_jq92,390
m.02pn2bl,390
m.0h53ngg,389
m.0107xr1k,388
m.051jylb,387
m.0_kqf2x,387
m.0y646gt,386
m.0qzjxgc,382
m.0h4xv,382
m.0g58r_9,381
m.059b77w,380
m.08ybcc0,379
m.0y80bqp,379
m.0jvbzm4,378
m.01kdyy,378
m.0w6y7w9,376
m.09s5xn2,376
m.0cc9m,375
m.0gmbs10,374
m.0j85bnw,372
m.01nxb_,372
m.0rznv02,371
m.0v_9w3r,370
m.02pp0mt,370
m.0y81vly,370
m.0gh72q7,369
m.0w6hwzb,369
m.05q5wjz,368
m.0wjjkg5,368
m.010p8by6,367
m.0w1h54v,367
m.03tgtr,367
m.02xdkx,366
m.04q7_2c,366
m.0t_7vn8,365
m.0wp7fv6,365
m.051jk0k,365
m.0v8zjx7,364
m.0hlh407,364
m.06qfqwq,363
m.0n49331,363
m.06n7c6z,363
m.04yqcl5,363
m.0t5wq7r,359
m.07kr45,358
m.049j60,357
m.046vw5t,357
m.0gx_37s,356
m.043tv9f,355
m.03y0fz6,354
m.055ynr,354
m.02dtdy,354
m.09tm4t4,351
m.0zpvzm5,351
m.0r42b3k,350
m.0b6mdsz,347
m.010n_42l,347
m.0lwlvbv,347
m.0j7dmx1,347
m.04ylwgf,345
m.06fhx_9,345
m.0fqmzw9,345
m.0ngrllm,341
m.02863v2,339
m.0jkx5hp,338
m.0hnb3tj,336
m.0n2318f,336
m.0478bz,335
m.09g7_m8,335
m.0hyws,334
m.0k2_kpv,333
m.0j4nmz2,333
m.0j4bxk2,332
m.02r2xbr,332
m.0p0przh,330
m.0j__z,329
m.0jx92c6,328
m.0_vkmv3,328
m.010nxd7c,328
m.0nbbrh7,326
m.010286cl,326
m.0_qtq1p,325
m.03gtpxt,323
m.0v2m5vj,323
m.0svnbp8,323
m.04lh4sj,323
m.08jqxv,321
m.081pvy,318
m.0n9ks87,318
m.02041g,318
m.09gm306,317
m.0tjzgzz,316
m.0qzrmbx,314
m.05p9bxw,314
m.05c2dr0,314
m.04yl9j,313
m.0_wjvnr,312
m.0100z90g,312
m.0j4ckts,311
m.0vx858d,311
m.06cqgwr,310
m.0zc1hxw,309
m.010hsr8d,309
m.0h53lfh,308
m.03m83c,308
m.051r3l,307
m.0y5mbb2,306
m.08801d,306
m.0wrn4j_,306
m.0_l6n2k,306
m.0gppfh,305
m.0h67_ry,305
m.0c8zk,304
m.064lgh1,304
m.027txk0,304
m.0v984mg,302
m.0nh3kmb,302
m.0j4clc0,302
m.0nddj0q,301
m.026vjlf,301
m.03c6f_m,301
m.0h3qzmr,300
m.03r24m,300
m.0h4v9,299
m.04wxr8,299
m.0_xgsg8,298
m.027ycd6,296
m.0y5m7h3,296
m.0j59mv2,295
m.0wr5fg_,295
m.0w2yjqd,295
m.0wdvfdj,294
m.0j19bwj,294
m.0krdlx1,293
m.0gfd3qd,293
m.05c3bbr,292
m.0w_w_mg,292
m.04w4b38,292
m.02rs4qk,292
m.0f17y,292
m.0vzbnn7,291
m.0bbxys6,291
m.05f43qv,291
m.04w3lhn,290
m.0y48gxq,290
m.0278xn,290
m.0j76r_f,289
m.051j77r,289
m.06ysgh,288
m.02mt7p,288
m.0w2yg_s,288
m.0wzlrj6,287
m.0qt671w,287
m.02z0_y_,286
m.09tf6hx,286
m.0wjgggm,285
m.0t_90ln,285
m.0j76sx3,285
m.0893__,284
m.04jfns0,284
m.0j7dkml,284
m.0vxqrkm,284
m.01149w6j,283
m.0n9hn45,282
m.0451g9,282
m.0115ms_h,281
m.04w3lgn,281
m.0y48y6h,280
m.0cn7pt,279
m.010r69dr,279
m.04w3465,278
m.0yq1mhs,278
m.0wzkskk,278
m.071zft,278
m.010rzfhn,277
m.04t22t9,277
m.06_w75s,277
m.025trv4,276
m.05vfyrc,276
m.0wy0qrt,275
m.02wys3w,275
m.03bzbdf,275
m.028z8y,274
m.0zgl8yy,273
m.0_xf5by,272
m.0zbjckk,272
m.06nnk1j,272
m.0j8sy36,272
m.076v37f,271
m.076xfxk,271
m.0h66_cg,271
m.04gsfgm,270
m.0w19bq_,268
m.0gh6v1j,268
m.0w4gn7t,268
m.09v7zmh,268
m.0j8634b,267
m.0h4gh,267
m.04w2_zn,267
m.09pnfy,267
m.0z9_33d,266
m.0j7dhwr,265
m.0qs1n87,264
m.04w4fv6,264
m.09kcbcq,263
m.0ds7zsk,263
m.0r4qv1_,263
m.064nfk,262
m.0h7mwxr,262
m.0y49sgj,262
m.0dj_22,262
m.0rynk_t,261
m.0tkqfl3,261
m.04kbwk,261
m.04w3lgx,260
m.0zbf5_3,260
m.0d7rbm,260
m.01nc0d,259
m.04ymy_6,259
m.0zrfg_g,259
m.02qtznh,258
m.02p_ymm,258
m.04t22qt,257
m.0c3xhny,257
m.02w311_,257
m.01064mdd,256
m.0g9q5m,256
m.0b_rr_c,256
m.04w4dmg,256
m.0ljwyw_,255
m.047r5n3,254
