id,score
m.0wj4flv,5308
m.03h3gvj,4759
m.0pcn4bq,4551
m.02qbdsw,4092
m.0wyp4c0,3599
m.0s9p0hw,3541
m.0px65j9,3425
m.0_ynsx3,3420
m.0svp07n,3388
m.0qgm3hr,3331
m.0fq33pt,3272
m.0y6gsqh,3203
m.0h0tgk,3049
m.0h7m5tg,2821
m.0rycm6n,2758
m.0j4nmhg,2663
m.06g8rs,2617
m.0_7f30d,2514
m.03m5bl,2488
m.02pml0v,2435
m.0pcn2zz,2404
m.0v_3b8x,2402
m.04jkl5_,2399
m.0j633tz,2378
m.0bmf1tp,2348
m.0tjvtp5,2304
m.0_0cq11,2293
m.0w1h3my,2292
m.0j8t6fp,2142
m.04zp9y,2140
m.0351my,2113
m.0j26nc5,2044
m.0jb250q,1989
m.0qdzpwl,1964
m.0svnw_y,1921
m.0c3zwbt,1893
m.0gkxx6c,1865
m.0w1h54v,1756
m.010nl_mh,1748
m.04g88q,1709
m.0g56s09,1693
m.0gyrh0y,1682
m.0n5v70t,1656
m.0s96kvm,1645
m.0vx0wsn,1615
m.04w6wkq,1570
m.04y8lr4,1552
m.0h3xlc3,1548
m.0h5356l,1542
m.0j85bnw,1520
m.0j64h56,1515
m.0n63sjn,1513
m.06x8sr,1513
m.0279glm,1508
m.0j4dfb1,1505
m.0dt9rc,1502
m.0w31nl6,1500
m.09vbp76,1488
m.0h3v85h,1457
m.02w8jm,1430
m.04gg14,1398
m.0100z8x8,1391
m.0lb1_k5,1378
m.03cs21,1350
m.04ycwf5,1348
m.0ng_hb3,1330
m.01c596,1328
m.0j55zs3,1321
m.0zrfg_g,1321
m.0v8zmv8,1306
m.0j25yf1,1289
m.0hhv8tt,1253
m.0r8frnm,1244
m.0v3f_5f,1215
m.027ln1j,1195
m.04f6b7g,1193
m.09tvvym,1173
m.04qyx7,1133
m.09tm4sh,1126
m.0j4c7ny,1080
m.043km4w,1079
m.04w3lhn,1075
m.02x5__0,1047
m.0nfvytg,1041
m.0tkqwyj,1040
m.02vnp_3,1038
m.0hhqnmn,1034
m.0k065hv,1017
m.0j4jy2r,1016
m.04w3lgn,1010
m.03z3xf,1005
m.010p2tx2,1002
m.03q106,992
m.010nkqz1,985
m.0n9kr6c,983
m.0_rhmn9,977
m.010jd11w,975
g.1n36x4dqk,964
m.051jvqg,956
m.07cvr,947
m.0gg975f,946
m.0h548vh,932
m.0g58r_9,913
m.0cp1654,893
m.02pmldj,873
m.0bdqnjl,870
m.0n9hn_2,864
m.0fx886,860
m.0111g0ch,854
m.02pf61v,854
m.0t58h5g,843
m.06ysgh,840
m.0nd9t0b,822
m.0khm1xt,820
m.0j3g9hl,817
m.098ts0,816
m.0643c3,811
m.0642vyl,809
m.0n83z1k,783
m.0sgk1jx,781
m.0crgpln,780
m.04wj2vl,774
m.0zb3vj0,756
m.06qfqwq,754
m.0y4341_,751
m.0ds7zsk,750
m.04ylmqz,746
m.0sw7ct8,743
m.0k_1w5w,740
m.049j60,736
m.06w79d3,730
m.0h7w3_q,729
m.04w4fpz,724
m.0n49331,720
m.0j_jq92,720
m.0wrn4j_,718
m.03f_14,704
m.0235s0,696
m.05p9bxw,693
m.0sg8hsb,690
m.0jkxs_2,690
m.04lbk6,689
m.0nfmz1g,687
m.0t4z1kl,683
m.0r3zx77,674
m.064lgh1,665
m.0jzxq0p,654
m.0n9hn45,653
m.0j__z,651
m.0k2_kpv,645
m.0w194yw,637
m.0y4cwsp,635
m.0ljwyw_,628
m.0jrrdbb,627
m.0y80bqp,623
m.02pn2q9,622
m.02pn2bl,609
m.02pn2rp,606
m.05_61g7,602
m.0w705xd,599
m.0gl0018,599
m.0khl9k_,592
m.0_zd35r,582
m.0ndwywp,579
m.0546d,571
m.0swhbml,568
m.0jvbzm4,565
m.0ndhv55,563
m.0svnfmy,562
m.02kw8ln,557
m.011rskrq,555
m.018x_s,552
m.04m_f9_,550
m.0y7pd4v,550
m.04ymy_6,549
m.0kzcv53,545
m.0v8zjx7,541
m.01064k8p,536
m.0bpn5,532
m.0svnbp8,530
m.0y48y6h,529
m.02vkrfh,527
m.06h8csn,524
m.0101pwy4,520
m.0t5wq7r,520
m.01064mdd,516
m.010n_42l,515
m.0gmbs10,515
m.0cn7pt,515
m.0wj81w7,514
m.0j4c70x,511
m.0j7j8tw,510
m.043lf37,507
m.0b86nl,502
m.0svn7p7,502
m.01kdyy,499
m.04w4b38,498
m.0b_rr_c,496
m.0kh8n_0,493
m.0g58tv6,493
m.03y0fz6,489
m.04w4fv6,488
m.06_w75s,486
