id,score
m.07jnt,14636
m.0hx4y,11075
m.0f4_l,10566
m.0bdjd,9790
m.0hfzr,9470
m.0c0zq,9086
m.07cyl,9074
m.01gc7,8711
m.05znxx,7772
m.07024,6428
m.0pb33,6320
m.07gp9,6300
m.0ddjy,6155
m.016fyc,5840
m.0y_9q,5815
m.01hp5,5801
m.0bt4g,5566
m.011yd2,5447
m.07j6w,5378
m.0dtfn,5376
m.07cz2,5231
m.0f4yh,5225
m.01xlh5,5001
m.07j94,4987
m.011yhm,4557
m.0hwpz,4526
m.0jnwx,4485
m.014l6_,4293
m.0dyb1,4240
m.07nn0,4039
m.017gl1,3988
m.0ds2n,3888
m.0_7w6,3838
m.0f3m1,3726
m.01_1hw,3692
m.01dc0c,3601
m.0h_b6x1,3490
m.01z452,3384
m.07bx6,3324
m.070g7,3314
m.03yvf2,3295
m.017z49,3252
m.01y_sf,3173
m.017gm7,3031
m.037xlx,2917
m.01q7h2,2881
m.02_kd,2877
m.09q5w2,2823
m.036r3f,2806
m.01gzmk,2778
m.035w2k,2694
m.0m63c,2670
m.011yqc,2652
m.07g1sm,2579
m.01sk1v,2530
m.07xtqq,2476
m.0dr3sl,2473
m.05567m,2468
m.05h12k,2448
m.011x_4,2417
m.02lgqm,2379
m.06qyw,2370
m.01hr1,2368
m.0ft18,2345
m.011ykb,2327
m.011yg9,2293
m.01d2v1,2286
m.01npcx,2245
m.016z98,2214
m.04zl8,2208
m.01f8hf,2172
m.016dj8,2163
m.017n9,2155
m.02h4658,2146
m.02p76f9,2139
m.02mt51,2100
m.01jrbb,2091
m.07cw4,2026
m.0m313,2015
m.011ydl,2012
m.011ypx,1999
m.034d47,1985
m.011ycb,1971
m.04wdfw,1935
m.01mgw,1901
m.017jd9,1876
m.01s7w3,1868
m.036y_2,1829
m.07pd_j,1817
m.0125xq,1805
m.082zg,1792
m.04sg0b,1742
m.0hqrx,1735
m.0jqn5,1721
m.01gzln,1693
m.07cfg,1693
m.01vksx,1642
m.0jqd3,1616
m.01pgp6,1598
m.01fmys,1586
m.02q52q,1545
m.017kz7,1541
m.0d90m,1524
m.01h0_h,1509
m.0gjk1d,1488
m.0129g2,1486
m.02v6_c,1482
m.0d87hc,1471
m.0h6r5,1442
m.0372j5,1436
m.0cbn7c,1429
m.0fd4x,1418
m.09ldwy,1410
m.0nrnk,1403
m.0320gs,1403
m.06r2h,1400
m.03936g,1395
m.03twd6,1394
m.0_b9f,1355
m.074rg9,1355
m.011yn5,1353
m.0qf2t,1338
m.0hmr4,1336
m.0bp0wf,1329
m.0ddt_,1314
m.0k2sk,1298
m.0bxsk,1276
m.0yx_w,1265
m.0k4f3,1257
m.0bscw,1251
m.0f4vx,1240
m.07ghq,1231
m.01jrbv,1226
m.01sxly,1226
m.0jwvf,1225
m.02z9rr,1219
m.09p4w8,1210
m.0jzw,1207
m.094g2z,1206
m.06z8s_,1189
m.067ghz,1176
m.0c296,1174
m.03xx0x,1163
m.01flv_,1153
m.01k1k4,1149
m.02d413,1143
m.01chyt,1140
m.0qjzd,1123
m.03mqwt,1117
m.02zzbh,1097
m.05z7c,1095
m.02fhm6,1088
m.0676dr,1083
m.0y_pg,1077
m.0k5g9,1073
m.07tdzq,1064
m.09m6kg,1061
m.03lrht,1042
m.012mrr,1004
m.083skw,984
m.0fvr1,975
m.01hjmb,969
m.03y_zj,945
m.02lxrv,943
m.059rc,937
m.02__34,933
m.08ct6,930
m.032_wv,920
m.0209xj,904
m.04lhc4,902
m.0m491,885
m.0jsf6,883
m.033pf1,881
m.03kxj2,881
m.0pdp8,872
m.0bs4r,868
m.02dwj,860
m.013q0p,858
m.01c22t,852
m.0277j40,846
m.033856,822
m.0c3z0,821
m.016ky6,820
m.0jyb4,819
m.0gyv0b4,806
m.03hjw08,797
m.0ktdb,796
m.0dr_4,790
m.02stbw,784
m.08zcb0,780
m.0llcx,780
m.051zy_b,778
m.0pv3x,777
m.02c7k4,774
m.01r97z,771
m.07cdz,758
m.016z9n,751
m.01m3wp,740
m.042y1c,737
m.014hr,729
m.01qb5d,722
m.0dt1p_,722
m.02ljhg,714
m.07q78,709
m.03r0g9,700
m.02hxhz,696
m.02chjf,693
m.02_fz3,690
m.01pv91,676
m.0gltv,676
m.06fwns,672
m.02qm_f,671
m.02fqrf,664
m.014bjk,662
m.047q4xt,662
m.06r2_,659
m.07b1gq,659
m.061681,651
m.0ccck7,646
m.05cvgl,644
m.02lk60,641
m.0645k5,633
m.023vcd,631
m.02ny6g,631
m.04vr_f,631
m.0bdhhw,627
m.023m3f,613
m.07tj4c,612
m.018gq3,607
m.02bhsc,606
m.0cq7tx,595
m.01ylt7,594
m.023p33,587
m.01dc8g,584
m.011yr9,582
m.03r6_w,581
m.01hv3t,581
m.01xdxy,576
m.02rv_dz,571
m.02cb8w,563
m.01hqhm,562
m.01lsl,560
m.09cr8,559
m.0421ng,559
m.03fts,557
m.0b2v79,557
m.07byq,555
m.0163_s,552
m.07f_t4,548
m.011yfd,548
m.0hv4t,545
m.02fwfb,544
m.05v38p,542
m.01ry_x,541
m.01_p7z,540
m.0jqtz,538
m.024lt6,538
m.03m3j,537
m.027r9t,534
m.06d_d3,528
m.07k2mq,524
m.09w353,518
m.0c8tkt,517
m.0gw7p,515
m.0m5s5,512
m.01dh6f,511
m.02b61v,507
m.01_456,507
m.0k4d7,506
m.04fjzv,498
m.03dxs5,497
m.04k2p,497
m.06pxbc,496
m.0jyx6,496
m.01ln5z,494
m.018js4,494
m.023p7l,493
m.011yrp,489
m.0pd64,486
m.034hwx,481
m.0kcn7,481
m.0p9tm,479
m.012jfb,477
m.031t49,477
m.0333t,475
m.01dvbd,473
m.035yn8,464
m.0339_4,464
m.05ldxl,462
m.0422v0,461
m.012s1d,459
m.019kyn,457
m.0ds33,456
m.01gkp1,455
m.0gy0n,455
m.0170z3,452
m.01rxyb,452
m.02nczh,451
m.03wh35,450
m.027_9n,445
m.03176f,445
m.028xq_,445
m.02wgk1,443
m.01cycq,443
m.03s9kp,443
m.012kyx,441
m.07j8r,440
m.049kmb,440
m.026lgs,436
m.015bpl,436
m.031778,435
m.01hvjx,434
m.011yxg,433
m.0p3_y,433
m.07bwr,430
m.03dyd7,429
m.0dnw1,429
m.03bxp5,422
m.04q5g,422
m.0yzp8,420
m.011wtv,419
