id,score
m.07jnt,11212
m.0f4_l,10447
m.07cyl,9660
m.0bdjd,9344
m.0hx4y,7289
m.01gc7,7190
m.0dtfn,6564
m.0c0zq,6161
m.0f4yh,5754
m.07j94,5656
m.0f3m1,5533
m.0dyb1,5446
m.0jnwx,5445
m.05znxx,5421
m.07cz2,5391
m.07024,5295
m.01dc0c,5093
m.0y_9q,4934
m.0bt4g,4809
m.0hwpz,4792
m.07gp9,4635
m.0ddjy,4525
m.011yd2,4300
m.017z49,4222
m.05h12k,4212
m.016fyc,4174
m.0hfzr,3972
m.0m63c,3914
m.01hp5,3689
m.07xtqq,3652
m.036r3f,3631
m.03yvf2,3621
m.017gl1,3596
m.0pb33,3588
m.01q7h2,3538
m.01npcx,3521
m.0dr3sl,3517
m.01_1hw,3504
m.02h4658,3457
m.035w2k,3430
m.017gm7,3375
m.07j6w,3374
m.0_7w6,3354
m.0ds2n,3282
m.011ypx,3273
m.067ghz,3221
m.07g1sm,3164
m.05567m,3135
m.011yhm,3112
m.017jd9,3104
m.011yqc,3021
m.014l6_,3003
m.011x_4,2914
m.01hr1,2895
m.01vksx,2843
m.01y_sf,2664
m.01sk1v,2646
m.02z9rr,2607
m.011ydl,2589
m.07bx6,2585
m.0jqn5,2541
m.07ghq,2526
m.04zl8,2417
m.06qyw,2415
m.037xlx,2409
m.0ft18,2409
m.070g7,2376
m.01gzmk,2366
m.07cw4,2341
m.02lgqm,2262
m.0y_pg,2261
m.016dj8,2240
m.01xlh5,2235
m.0277j40,2167
m.01d2v1,2164
m.01gzln,2148
m.0jsf6,2128
m.03936g,2107
m.01jrbv,2082
m.07nn0,2075
m.02_kd,2070
m.0dr_4,2055
m.02dwj,2024
m.0p3_y,2010
m.04sg0b,1996
m.0hqrx,1993
m.012s1d,1981
m.0qjzd,1974
m.09q5w2,1970
m.0m313,1952
m.011ycb,1936
m.01jrbb,1921
m.01s7w3,1904
m.02qm_f,1898
m.02fhm6,1895
m.0gjk1d,1870
m.011ykb,1869
m.0hmr4,1852
m.016z98,1848
m.011yg9,1847
m.06z8s_,1831
m.023vcd,1764
m.0f4vx,1677
m.08ct6,1675
m.06r2h,1651
m.082zg,1651
m.07bwr,1638
m.0jwvf,1620
m.02__34,1602
m.0d90m,1596
m.01z452,1586
m.0bxsk,1535
m.03kxj2,1528
m.059rc,1521
m.0m491,1496
m.0d87hc,1488
m.0c296,1469
m.09p4w8,1460
m.017kz7,1444
m.01f8hf,1418
m.07pd_j,1388
m.049kmb,1380
m.01h0_h,1373
m.01chyt,1341
m.034d47,1337
m.0676dr,1304
m.0422v0,1301
